Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB,,,,,,,,,,
MAE,0.359596712,0.358422576,0.346960011,0.356807097,0.367817723,0.362414732,0.371469916,,,,,,,,,,
RMSE,0.402385881,0.385084997,0.390601193,0.386220577,0.408810898,0.389690936,0.427535855,,,,,,,,,,
nRMSE,0.113796912,0.108904128,0.110464138,0.109225276,0.115613942,0.110206713,0.120909461,,,,,,,,,,
R2,0.690523335,0.703979275,0.689122261,0.704221288,0.678471628,0.697631098,0.662219634,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.698 ,0.362 ,0.390 ,0.110 
,,,,,,,,,,,,,,0.678 ,0.368 ,0.409 ,0.116 
,,,,,,Index,SVM,RF,XGB,LightGBM,LSTM,StackLSTM ,BiLSTM,0.662 ,0.371 ,0.428 ,0.121 
,,,,,,MAE,0.362 ,0.368 ,0.371 ,0.360 ,0.357 ,0.347 ,0.358 ,0.691 ,0.360 ,0.402 ,0.114 
,,,,,,RMSE,0.390 ,0.409 ,0.428 ,0.402 ,0.386 ,0.391 ,0.385 ,0.704 ,0.357 ,0.386 ,0.109 
,,,,,,nRMSE,0.110 ,0.116 ,0.121 ,0.114 ,0.109 ,0.110 ,0.109 ,0.689 ,0.347 ,0.391 ,0.110 
,,,,,,R2,0.698 ,0.678 ,0.662 ,0.691 ,0.704 ,0.689 ,0.704 ,0.704 ,0.358 ,0.385 ,0.109 
