Index,LightGBM,BiLSTM,StackLSTM,LSTM,RF,SVM,XGB,,,,,,,
MAE,0.346547964,0.350057625,0.36720074,0.345850078,0.357380868,0.358390851,0.359237871,,,,,,,
RMSE,0.393182948,0.389681638,0.390798077,0.391904557,0.398381055,0.389271817,0.412413827,,,,,,,
nRMSE,0.111194273,0.110204083,0.110519818,0.110832737,0.112664325,0.110088183,0.11663287,,,,,,,
R2,0.688648433,0.681229433,0.721426581,0.695444127,0.691802533,0.687678623,0.679839775,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Index,SVM,RF,XGB,LightGBM,LSTM,StackLSTM ,BiLSTM,,,,,
,,MAE,0.358390851,0.357380868,0.359237871,0.346547964,0.345850078,0.36720074,0.350057625,,,,,
,,RMSE,0.389271817,0.398381055,0.412413827,0.393182948,0.391904557,0.390798077,0.389681638,,,,,
,,nRMSE,0.110088183,0.112664325,0.11663287,0.111194273,0.110832737,0.110519818,0.110204083,,,,,
,,R2,0.687678623,0.691802533,0.679839775,0.688648433,0.695444127,0.721426581,0.681229433,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,0.358,0.389,0.11,0.688,,,,,,,
,,,,0.357,0.398,0.113,0.692,,,,,,,
,,,,0.359,0.412,0.117,0.68,,,,0.688,0.358,0.389,0.11
,,,,0.347,0.393,0.111,0.689,,,,0.692,0.357,0.398,0.113
,,,,0.346,0.392,0.111,0.695,,,,0.68,0.359,0.412,0.117
,,,,0.367,0.391,0.111,0.721,,,,0.689,0.347,0.393,0.111
,,,,0.35,0.39,0.11,0.681,,,,0.695,0.346,0.392,0.111
,,,,,,,,,,,0.721,0.367,0.391,0.111
,,,,,,,,,,,0.681,0.35,0.39,0.11
