Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB,,,Index,SVM,RF,XGB,LightGBM,LSTM,StackLSTM ,BiLSTM
MAE,0.063116843,0.06781777,0.068095261,0.06740689,0.065083737,0.0690558,0.066249577,,,MAE,0.069 ,0.065 ,0.066 ,0.063 ,0.067 ,0.068 ,0.068 
RMSE,0.076500837,0.083680389,0.083484907,0.081661241,0.078805748,0.085350289,0.081148791,,,RMSE,0.085 ,0.079 ,0.081 ,0.077 ,0.082 ,0.083 ,0.084 
nRMSE,0.081557395,0.089211502,0.089003099,0.087058892,0.084014657,0.090991779,0.086512571,,,nRMSE,0.091 ,0.084 ,0.087 ,0.082 ,0.087 ,0.089 ,0.089 
R2,0.862294288,0.838523111,0.840010374,0.841207697,0.850947322,0.808823702,0.843573237,,,R2,0.809 ,0.851 ,0.844 ,0.862 ,0.841 ,0.840 ,0.839 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Model,R2,MAE,RMSE,nRMSE,,,,,,,,,,,,,
SVM,0.809 ,0.069 ,0.085 ,0.091 ,,,,,,,,,,,,,
RF,0.851 ,0.065 ,0.079 ,0.084 ,,,,,,,,,,,,,
XGB,0.844 ,0.066 ,0.081 ,0.087 ,,,,,,,,,,,,,
LightGBM,0.862 ,0.063 ,0.077 ,0.082 ,,,,,,,,,,,,,
LSTM,0.841 ,0.067 ,0.082 ,0.087 ,,,,,,,,,,,,,
StackLSTM ,0.840 ,0.068 ,0.083 ,0.089 ,,,,,,,,,,,,,
BiLSTM,0.839 ,0.068 ,0.084 ,0.089 ,,,,,,,,,,,,,
