Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB,,,,,,,,,
MAE,0.351281443,0.356585928,0.356485603,0.350000159,0.356279177,0.361076704,0.362903637,,,,,,,,,
RMSE,0.390347791,0.38566097,0.384244659,0.387481769,0.395385386,0.387225684,0.408629996,,,,,,,,,
nRMSE,0.110392475,0.109067016,0.108666476,0.109581948,0.111817134,0.109509526,0.115562782,,,,,,,,,
R2,0.682238297,0.698676579,0.718805229,0.685813198,0.685679564,0.696260619,0.658025353,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.361 ,0.387 ,0.110 
,,,,,,,,,,,,,,0.356 ,0.395 ,0.112 
,,,,,,,,,,,,,,0.363 ,0.409 ,0.116 
,,,,,,,,,,,,,,0.351 ,0.390 ,0.110 
,,,,,,,,,,,,,,0.350 ,0.387 ,0.110 
,,,,,Index,SVM,RF,XGB,LightGBM,LSTM,StackLSTM ,BiLSTM,,0.356 ,0.384 ,0.109 
,,,,,MAE,0.361076704,0.356279177,0.362903637,0.351281443,0.350000159,0.356485603,0.356585928,,0.357 ,0.386 ,0.109 
,,,,,RMSE,0.387225684,0.395385386,0.408629996,0.390347791,0.387481769,0.384244659,0.38566097,,,,
,,,,,nRMSE,0.109509526,0.111817134,0.115562782,0.110392475,0.109581948,0.108666476,0.109067016,,,,
,,,,,R2,0.696260619,0.685679564,0.658025353,0.682238297,0.685813198,0.718805229,0.698676579,,0.696 ,,
,,,,,,,,,,,,,,0.686 ,,
,,,,,,,,,,,,,,0.658 ,,
,,,,,,,,,,,,,,0.682 ,,
,,,,,,,,,,,,,,0.686 ,,
,,,,,,,,,,,,,,0.719 ,,
,,,,,,,,,,,,,,0.699 ,,
